Field #,Beginning Location,Length,Contents,Name,Code Structure Description,Mapping for the subset of data element that map to the U.S. Standard Cert of Death,Notes,Required for 9/21 Connectathon,VRDR .NET
1,1,4,Date of Death--Year,DOD_YR,4 digit year,29,State supplied  in MessageHeader,Y,
2,5,2,"State, U.S. Territory or Canadian Province of Death - code",DSTATE,"NCHS Instruction Manual Part 8A
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA  
   BC  BRITISH COLUMBIA 
   MB  MANITOBA 
   NB  NEW BRUNSWICK  
   NF NEWFOUNDLAND  
   NS  NOVA SCOTIA 
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND 
   QC  QUEBEC  
   SK  SASKATCHEWAN
   YT  YUKON",16,State supplied  in MessageHeader,Y,
3,7,6,Certificate Number,FILENO,Left 0 filled; 000001-999999,State File No at top right of cert,,Y,
4,13,1,Void flag,VOID,"0 =Default; Valid Record
1 = VOID record",,State supplied  in MessageHeader,Y,
5,14,12,Auxiliary State file number,AUXNO,000000000001-999999999999; Blank,Local File No at top left of cert,,Y,
6,26,1,Source flag: paper/electronic,MFILED,"0 = Electronic Mode
1 = Paper Mode
2 = Mixed Mode",,,,
7,27,50,Decedent's Legal Name--Given ,GNAME,,1,,Y,Y
8,77,1,Decedent's Legal Name--Middle,MNAME,,1,,Y,Y
9,78,50,Decedent's Legal Name--Last,LNAME,Last name is required,1,,Y,Y
10,128,10,Decedent's Legal Name--Suffix,SUFF,,1,,Y,Y
11,138,1,Decedent's Legal Name--Alias,ALIAS,"0 = Original Record
1 = Alias Record",,,,Y
12,139,50,Father's Surname,FLNAME,,11,,Y,Y
13,189,1,Sex,SEX,"M = Male
F = Female
U = Unknown",2,,Y,Y
14,190,1,Sex--Edit Flag,SEX_BYPASS,"0 = Edit Passed
1 = Edit Failed, Data Queried, and Verified",,,,Y
15,191,9,Social Security Number,SSN,9 digit SSN; blank if unknown or not sharable,3,,Y,Y
16,200,1,Decedent's Age--Type,AGETYPE,"1 = Years
2 = Months
4 = Days
5 = Hours
6 = Minutes
9 = Unknown (not classifiable)",,,Y,Y
17,201,3,Decedent's Age--Units,AGE ,"001 - 135, 999
Codes: If AGETYPE = 1 then 001-135, 999
                                        2 then 001-011, 999
                                        4 then 001-027, 999
                                        5 then 001-023, 999
                                        6 then 001-059, 999
                                        9 then 999","4a,4b,4c",,Y,Y
18,204,1,Decedent's Age--Edit Flag,AGE_BYPASS,"0 = Edit Passed
1 = Edit Failed, Data Queried, and Verified",,,,Y
19,205,4,Date of Birth--Year,DOB_YR,"4 digit year; <=year of death, 9999",5,,Y,Y
20,209,2,Date of Birth--Month,DOB_MO,"01-12, 99",5,,Y,Y
21,211,2,Date of Birth--Day,DOB_DY,"01-31 (based on month), 99",5,,Y,
22,213,2,Birthplace--Country,BPLACE_CNT,NCHS Part 8 (from FIPS table 10-4),6,,Y,Y
23,215,2,"State, U.S. Territory or Canadian Province of Birth - code",BPLACE_ST,"NCHS Instruction Manual Part 8A
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN CANADIAN PROVINCE OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = UNKNOWN STATE WHERE COUNTRY IS KNOWN, BUT NOT U.S. OR CANADA 
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA  
   BC  BRITISH COLUMBIA 
   MB  MANITOBA 
   NB  NEW BRUNSWICK  
   NF NEWFOUNDLAND  
   NS  NOVA SCOTIA 
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND 
   QC  QUEBEC  
   SK  SASKATCHEWAN
   YT  YUKON",6,,,Y
24,217,5,Decedent's Residence--City,CITYC,NCHS Instruction Manual Part 8A ,7c,,,y
25,222,3,Decedent's Residence--County,COUNTYC,NCHS Instruction Manual Part 8A ,7b,,,y
